#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: spritesheetTexture.png (896 x 1888)
# $TexturePacker:SmartUpdate:a0cd63215391c94386a677cc9a3cf5ee:a4848ae318e8a7922fcd0c80d1a0ec9a:c32b14f25b044fad7807043096746115$
#

ball_down;0;446;0;128;128;128;128;0.5;0.5
ball_up;0;574;0;128;128;128;128;0.5;0.5
blank;0;702;0;128;128;128;128;0.5;0.5
checkpoint_flag1;0;0;557;136;200;136;200;0.5;0.5
checkpoint_flag2;0;136;557;136;200;136;200;0.5;0.5
checkpoint_flag3;0;272;557;136;200;136;200;0.5;0.5
checkpoint_flag4;0;408;557;136;200;136;200;0.5;0.5
coin;0;356;0;90;90;90;90;0.5;0.5
level1;0;256;256;128;129;128;130;0.5;0.5038759689922481
level2;0;384;256;128;129;128;130;0.5;0.5038759689922481
level3;0;512;256;128;129;128;130;0.5;0.5038759689922481
level4;0;640;256;128;129;128;130;0.5;0.5038759689922481
level5;0;768;256;128;129;128;130;0.5;0.5038759689922481
level6;0;0;385;128;129;128;130;0.5;0.5038759689922481
level7;0;128;385;128;129;128;130;0.5;0.5038759689922481
level8;0;256;385;128;129;128;130;0.5;0.5038759689922481
level9;0;384;385;128;129;128;130;0.5;0.5038759689922481
level10;0;512;385;128;129;128;130;0.5;0.5038759689922481
levels_button;0;422;781;346;322;346;322;0.5;0.5
menu_button;0;0;128;256;128;256;128;0.5;0.5
move_button;0;304;781;118;234;118;234;0.5;0.5
music_off;0;256;128;128;128;128;128;0.5;0.5
music_on;0;384;128;128;128;128;128;0.5;0.5
pause_button;0;512;128;128;128;128;128;0.5;0.5
pause_menu;0;346;1103;546;782;546;782;0.5;0.5
play_button;0;0;1103;346;322;346;322;0.5;0.5
slider_ball;0;300;0;56;56;56;56;0.5;0.5
slider_line;0;0;0;300;10;300;10;0.5;0.5
sound_off;0;640;128;128;128;128;128;0.5;0.5
sound_on;0;768;128;128;128;128;128;0.5;0.5
spike;0;640;385;128;172;128;172;0.5;0.5
spike_tile;0;0;256;128;128;128;128;0.5;0.5
tile;0;128;256;128;128;128;128;0.5;0.5
win_flag1;0;544;557;152;224;152;224;0.5;0.5
win_flag2;0;696;557;152;224;152;224;0.5;0.5
win_flag3;0;0;781;152;224;152;224;0.5;0.5
win_flag4;0;152;781;152;224;152;224;0.5;0.5
